  3  4  1  2  8 10  9  6  5  7 11
  2  1  3  4  7  5  6  9 10  8 11
  4  3  2  1  8 10  9  6  5  7 11
  1  2  4  3  6  7  5 10  8  9 11
  3  4  1  2  9  8 10  5  7  6 11
  2  1  3  4  6  7  5 10  8  9 11
  4  3  2  1  9  8 10  5  7  6 11
  1  2  3  4  6  5  7  8 10  9 11
  3  4  2  1  9 10  8  7  5  6 11
  2  1  4  3  6  5  7  8 10  9 11
  4  3  1  2  9 10  8  7  5  6 11
  1  2  3  4  5  7  6  9  8 10 11
  3  4  2  1 10  8  9  6  7  5 11
  2  1  4  3  5  7  6  9  8 10 11
  4  3  1  2 10  8  9  6  7  5 11
  1  2  3  4  7  6  5 10  9  8 11
  3  4  2  1  8  9 10  5  6  7 11
  2  1  4  3  7  6  5 10  9  8 11
  4  3  1  2  8  9 10  5  6  7 11
 23 24 11
  1  2  3  4  5  6  7  8  9 10 11
  3  4  1  2  6  5  8  7  9 10 11
  2  1  4  3  5  6  8  7 10  9 11
  4  3  2  1  6  5  7  8 10  9 11
  1  3  4  2  9 10  5  6  7  8 11
  3  1  2  4  9 10  6  5  8  7 11
  4  2  1  3 10  9  6  5  7  8 11
  2  4  3  1 10  9  5  6  8  7 11
  1  4  2  3  7  8  9 10  5  6 11
  3  2  4  1  8  7  9 10  6  5 11
  2  3  1  4  8  7 10  9  5  6 11
  4  1  3  2  7  8 10  9  6  5 11
  1  4  3  2  7  8  5  6  9 10 11
  3  2  1  4  8  7  6  5  9 10 11
  2  3  4  1  8  7  5  6 10  9 11
  4  1  2  3  7  8  6  5 10  9 11
  1  2  4  3  5  6  9 10  7  8 11
  3  4  2  1  6  5  9 10  8  7 11
  4  3  1  2  6  5 10  9  7  8 11
  2  1  3  4  5  6 10  9  8  7 11
  1  3  2  4  9 10  7  8  5  6 11
  3  1  4  2  9 10  8  7  6  5 11
  2  4  1  3 10  9  8  7  5  6 11
  4  2  3  1 10  9  7  8  6  5 11
 24  6  4
  1  2  3  4
  3  1  2  4
  2  3  1  4
  2  1  3  4
  1  3  2  4
  3  2  1  4
 25  8  9
  1  2  3  4  5  6  7  8  9
  3  4  1  2  5  6  8  7  9
  2  1  4  3  6  5  7  8  9
  4  3  2  1  6  5  8  7  9
  1  3  2  4  7  8  5  6  9
  3  1  4  2  8  7  5  6  9
  2  4  1  3  7  8  6  5  9
  4  2  3  1  8  7  6  5  9
 26  2  3
  1  2  3
  2  1  3
 27  8  5
  1  2  3  4  5
  3  4  1  2  5
  2  1  4  3  5
  4  3  2  1  5
  1  3  2  4  5
  3  1  4  2  5
  2  4  1  3  5
  4  2  3  1  5
 28  2  4
  1  2  3  4
  2  1  3  4
 29  1  1
  1
 30  2  3
  1  2  3
  2  1  3
 31  1  2
  1  2
 32  2  3
  1  2  3
  2  1  3
 33  1  1
  1
 34  2  3
  1  2  3
  2  1  3
 35  4  6
  1  2  3  4  5  6
  2  1  3  4  5  6
  1  2  3  5  4  6
  2  1  3  5  4  6
 36  1  2
  1  2
 37  2  4
  1  2  3  4
  2  1  3  4
 38  2  6
  1  2  3  4  5  6
  2  1  3  5  4  6
 39  2  4
  1  2  3  4
  2  1  3  4
 40  1  3
  1  2  3
 41  1  2
  1  2
 42  2  5
  1  2  3  4  5
  1  2  4  3  5
 43  1  2
  1  2
 44  4  5
  1  2  3  4  5
  2  1  3  4  5
  1  2  4  3  5
  2  1  4  3  5
 45  2  3
  1  2  3
  2  1  3
 46  1  3
  1  2  3
 47 48 27
  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
  2  1  4  3  6  5  8  7  9 10 11 12 15 16 13 14 19 20 17 18 22 21 23 24 25 26 27
  5  6  7  8  1  2  3  4 11 12  9 10 13 14 15 16 18 17 20 19 21 22 24 23 25 26 27
  6  5  8  7  2  1  4  3 11 12  9 10 15 16 13 14 20 19 18 17 22 21 24 23 25 26 27
  3  4  1  2  7  8  5  6 10  9 12 11 14 13 16 15 17 18 19 20 21 22 23 24 26 25 27
  4  3  2  1  8  7  6  5 10  9 12 11 16 15 14 13 19 20 17 18 22 21 23 24 26 25 27
  7  8  5  6  3  4  1  2 12 11 10  9 14 13 16 15 18 17 20 19 21 22 24 23 26 25 27
  8  7  6  5  4  3  2  1 12 11 10  9 16 15 14 13 20 19 18 17 22 21 24 23 26 25 27
  1  3  5  7  2  4  6  8 17 18 19 20  9 11 10 12 13 15 14 16 25 26 21 22 23 24 27
  2  4  6  8  1  3  5  7 19 20 17 18  9 11 10 12 15 13 16 14 25 26 22 21 23 24 27
  5  7  1  3  6  8  2  4 18 17 20 19 11  9 12 10 13 15 14 16 25 26 21 22 24 23 27
  6  8  2  4  5  7  1  3 20 19 18 17 11  9 12 10 15 13 16 14 25 26 22 21 24 23 27
  3  1  7  5  4  2  8  6 17 18 19 20 10 12  9 11 14 16 13 15 26 25 21 22 23 24 27
  4  2  8  6  3  1  7  5 19 20 17 18 10 12  9 11 16 14 15 13 26 25 22 21 23 24 27
  7  5  3  1  8  6  4  2 18 17 20 19 12 10 11  9 14 16 13 15 26 25 21 22 24 23 27
  8  6  4  2  7  5  3  1 20 19 18 17 12 10 11  9 16 14 15 13 26 25 22 21 24 23 27
  1  5  2  6  3  7  4  8 13 15 14 16 17 19 18 20  9 10 11 12 23 24 25 26 21 22 27
  2  6  1  5  4  8  3  7 15 13 16 14 19 17 20 18  9 10 11 12 23 24 25 26 22 21 27
  5  1  6  2  7  3  8  4 13 15 14 16 18 20 17 19 11 12  9 10 24 23 25 26 21 22 27
  6  2  5  1  8  4  7  3 15 13 16 14 20 18 19 17 11 12  9 10 24 23 25 26 22 21 27
  3  7  4  8  1  5  2  6 14 16 13 15 17 19 18 20 10  9 12 11 23 24 26 25 21 22 27
  4  8  3  7  2  6  1  5 16 14 15 13 19 17 20 18 10  9 12 11 23 24 26 25 22 21 27
  7  3  8  4  5  1  6  2 14 16 13 15 18 20 17 19 12 11 10  9 24 23 26 25 21 22 27
  8  4  7  3  6  2  5  1 16 14 15 13 20 18 19 17 12 11 10  9 24 23 26 25 22 21 27
  1  5  3  7  2  6  4  8 13 14 15 16  9 10 11 12 17 19 18 20 23 24 21 22 25 26 27
  2  6  4  8  1  5  3  7 15 16 13 14  9 10 11 12 19 17 20 18 23 24 22 21 25 26 27
  5  1  7  3  6  2  8  4 13 14 15 16 11 12  9 10 18 20 17 19 24 23 21 22 25 26 27
  6  2  8  4  5  1  7  3 15 16 13 14 11 12  9 10 20 18 19 17 24 23 22 21 25 26 27
  3  7  1  5  4  8  2  6 14 13 16 15 10  9 12 11 17 19 18 20 23 24 21 22 26 25 27
  4  8  2  6  3  7  1  5 16 15 14 13 10  9 12 11 19 17 20 18 23 24 22 21 26 25 27
  7  3  5  1  8  4  6  2 14 13 16 15 12 11 10  9 18 20 17 19 24 23 21 22 26 25 27
  8  4  6  2  7  3  5  1 16 15 14 13 12 11 10  9 20 18 19 17 24 23 22 21 26 25 27
  1  2  5  6  3  4  7  8  9 11 10 12 17 18 19 20 13 14 15 16 21 22 25 26 23 24 27
  2  1  6  5  4  3  8  7  9 11 10 12 19 20 17 18 15 16 13 14 22 21 25 26 23 24 27
  5  6  1  2  7  8  3  4 11  9 12 10 18 17 20 19 13 14 15 16 21 22 25 26 24 23 27
  6  5  2  1  8  7  4  3 11  9 12 10 20 19 18 17 15 16 13 14 22 21 25 26 24 23 27
  3  4  7  8  1  2  5  6 10 12  9 11 17 18 19 20 14 13 16 15 21 22 26 25 23 24 27
  4  3  8  7  2  1  6  5 10 12  9 11 19 20 17 18 16 15 14 13 22 21 26 25 23 24 27
  7  8  3  4  5  6  1  2 12 10 11  9 18 17 20 19 14 13 16 15 21 22 26 25 24 23 27
  8  7  4  3  6  5  2  1 12 10 11  9 20 19 18 17 16 15 14 13 22 21 26 25 24 23 27
  1  3  2  4  5  7  6  8 17 19 18 20 13 15 14 16  9 11 10 12 25 26 23 24 21 22 27
  2  4  1  3  6  8  5  7 19 17 20 18 15 13 16 14  9 11 10 12 25 26 23 24 22 21 27
  5  7  6  8  1  3  2  4 18 20 17 19 13 15 14 16 11  9 12 10 25 26 24 23 21 22 27
  6  8  5  7  2  4  1  3 20 18 19 17 15 13 16 14 11  9 12 10 25 26 24 23 22 21 27
  3  1  4  2  7  5  8  6 17 19 18 20 14 16 13 15 10 12  9 11 26 25 23 24 21 22 27
  4  2  3  1  8  6  7  5 19 17 20 18 16 14 15 13 10 12  9 11 26 25 23 24 22 21 27
  7  5  8  6  3  1  4  2 18 20 17 19 14 16 13 15 12 10 11  9 26 25 24 23 21 22 27
  8  6  7  5  4  2  3  1 20 18 19 17 16 14 15 13 12 10 11  9 26 25 24 23 22 21 27
 48 48 13
  1  2  3  4  5  6  7  8  9 10 11 12 13
  2  1  4  3  6  5  7  8 10  9 12 11 13
  4  3  2  1  6  5  8  7  9 10 12 11 13
  3  4  1  2  5  6  8  7 10  9 11 12 13
  3  4  1  2  6  5  8  7 10  9 11 12 13
  4  3  2  1  5  6  8  7  9 10 12 11 13
  2  1  4  3  5  6  7  8 10  9 12 11 13
  1  2  3  4  6  5  7  8  9 10 11 12 13
  1  3  4  2  5  6 11 12  7  8  9 10 13
  2  4  3  1  6  5 12 11  7  8 10  9 13
  4  2  1  3  6  5 12 11  8  7  9 10 13
  3  1  2  4  5  6 11 12  8  7 10  9 13
  3  1  2  4  6  5 11 12  8  7 10  9 13
  4  2  1  3  5  6 12 11  8  7  9 10 13
  2  4  3  1  5  6 12 11  7  8 10  9 13
  1  3  4  2  6  5 11 12  7  8  9 10 13
  1  4  2  3  5  6  9 10 11 12  7  8 13
  2  3  1  4  6  5 10  9 12 11  7  8 13
  4  1  3  2  6  5  9 10 12 11  8  7 13
  3  2  4  1  5  6 10  9 11 12  8  7 13
  3  2  4  1  6  5 10  9 11 12  8  7 13
  4  1  3  2  5  6  9 10 12 11  8  7 13
  2  3  1  4  5  6 10  9 12 11  7  8 13
  1  4  2  3  6  5  9 10 11 12  7  8 13
  1  4  3  2  6  5  9 10  7  8 11 12 13
  2  3  4  1  5  6 10  9  7  8 12 11 13
  4  1  2  3  5  6  9 10  8  7 12 11 13
  3  2  1  4  6  5 10  9  8  7 11 12 13
  3  2  1  4  5  6 10  9  8  7 11 12 13
  4  1  2  3  6  5  9 10  8  7 12 11 13
  2  3  4  1  6  5 10  9  7  8 12 11 13
  1  4  3  2  5  6  9 10  7  8 11 12 13
  1  2  4  3  6  5  7  8 11 12  9 10 13
  2  1  3  4  5  6  7  8 12 11 10  9 13
  4  3  1  2  5  6  8  7 12 11  9 10 13
  3  4  2  1  6  5  8  7 11 12 10  9 13
  3  4  2  1  5  6  8  7 11 12 10  9 13
  4  3  1  2  6  5  8  7 12 11  9 10 13
  2  1  3  4  6  5  7  8 12 11 10  9 13
  1  2  4  3  5  6  7  8 11 12  9 10 13
  1  3  2  4  6  5 11 12  9 10  7  8 13
  2  4  1  3  5  6 12 11 10  9  7  8 13
  4  2  3  1  5  6 12 11  9 10  8  7 13
  3  1  4  2  6  5 11 12 10  9  8  7 13
  3  1  4  2  5  6 11 12 10  9  8  7 13
  4  2  3  1  6  5 12 11  9 10  8  7 13
  2  4  1  3  6  5 12 11 10  9  7  8 13
  1  3  2  4  5  6 11 12  9 10  7  8 13
 49  8 18
  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18
  4  3  2  1  6  5  8  7  9 10 12 11 16 15 14 13 17 18
  3  4  1  2  7  8  5  6 10  9 11 12 15 16 13 14 17 18
  2  1  4  3  8  7  6  5 10  9 12 11 14 13 16 15 17 18
  1  2  4  3  5  7  6  8 11 12  9 10 13 14 16 15 17 18
  4  3  1  2  6  8  5  7 12 11  9 10 16 15 13 14 17 18
  3  4  2  1  7  5  8  6 11 12 10  9 15 16 14 13 17 18
  2  1  3  4  8  6  7  5 12 11 10  9 14 13 15 16 17 18
 50  8 13
  1  2  3  4  5  6  7  8  9 10 11 12 13
  2  1  4  3  5  6  7  8  9 10 12 11 13
  4  3  2  1  6  5  8  7 10  9 11 12 13
  3  4  1  2  6  5  8  7 10  9 12 11 13
  1  2  3  4  5  6  9 10  7  8 11 12 13
  2  1  4  3  5  6  9 10  7  8 12 11 13
  4  3  2  1  6  5 10  9  8  7 11 12 13
  3  4  1  2  6  5 10  9  8  7 12 11 13
 51  4 12
